timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1723640648405,1,HTTP Request,200,OK,script_1 1-8,text,true,,6969,689,10,10,http://localhost/banking/customer_reg_form.php,1,0,0
1723640648406,4,HTTP Request,200,OK,script_1 1-8,text,true,,11521,1996,10,10,http://localhost/banking/cust_regfrm_confirm.php,2,0,0
1723640648406,2,HTTP Request-0,302,Found,script_1 1-8,text,true,,7175,1137,10,10,http://localhost/banking/customer_reg_form.php,2,0,0
1723640648408,2,HTTP Request-1,200,OK,script_1 1-8,text,true,,4346,859,10,10,http://localhost/banking/cust_regfrm_confirm.php,2,0,0
1723640648410,1,HTTP Request,200,OK,script_1 1-8,text,true,,4346,784,10,10,http://localhost/banking/cust_regfrm_confirm.php,1,0,0
1723640648411,18,Tnx_03_view_acc_details_n_submit,200,"Number of samples in transaction : 2, number of failing samples : 0",script_1 1-8,,true,,10981,1628,10,10,null,0,1,0
1723640648411,12,HTTP Request,200,OK,script_1 1-8,text,true,,4581,902,10,10,http://localhost/banking/cust_regfrm_confirm.php,12,0,0
1723640648424,6,HTTP Request,200,OK,script_1 1-8,text,true,,6400,726,10,10,http://localhost/banking/index.php,6,0,0
1723640678393,1,Tnx_01_Launch,200,"Number of samples in transaction : 1, number of failing samples : 0",script_1 1-7,,true,,6401,651,10,10,null,0,1,0
1723640678394,1,HTTP Request,200,OK,script_1 1-7,text,true,,6401,651,10,10,http://localhost/banking/,1,0,0
1723640678395,4,Tnx_02_Click_open_Acc,200,"Number of samples in transaction : 3, number of failing samples : 0",script_1 1-7,,true,,22842,3472,10,10,null,0,2,0
1723640678396,0,HTTP Request,200,OK,script_1 1-7,text,true,,6969,689,10,10,http://localhost/banking/customer_reg_form.php,0,0,0
1723640678397,3,HTTP Request,200,OK,script_1 1-7,text,true,,11524,1999,10,10,http://localhost/banking/cust_regfrm_confirm.php,1,0,0
1723640678397,1,HTTP Request-0,302,Found,script_1 1-7,text,true,,7175,1140,10,10,http://localhost/banking/customer_reg_form.php,1,0,0
1723640678399,1,HTTP Request-1,200,OK,script_1 1-7,text,true,,4349,859,10,10,http://localhost/banking/cust_regfrm_confirm.php,1,0,0
1723640678400,1,HTTP Request,200,OK,script_1 1-7,text,true,,4349,784,10,10,http://localhost/banking/cust_regfrm_confirm.php,1,0,0
1723640678402,12,Tnx_03_view_acc_details_n_submit,200,"Number of samples in transaction : 2, number of failing samples : 0",script_1 1-7,,true,,10984,1628,10,10,null,0,2,0
1723640678402,11,HTTP Request,200,OK,script_1 1-7,text,true,,4584,902,10,10,http://localhost/banking/cust_regfrm_confirm.php,11,0,0
1723640678415,1,HTTP Request,200,OK,script_1 1-7,text,true,,6400,726,10,10,http://localhost/banking/index.php,1,0,0
1723640708387,2,Tnx_01_Launch,200,"Number of samples in transaction : 1, number of failing samples : 0",script_1 1-6,,true,,6401,651,10,10,null,0,0,1
1723640708387,2,HTTP Request,200,OK,script_1 1-6,text,true,,6401,651,10,10,http://localhost/banking/,2,0,1
